USR|i need out of this tacky country :unamused:
maybe Kyoto?|inform
USR|i just finished performing in san antonio and i want out of here|inform
SYS|Do you have a budget for this trip?|request
USR|thats cute.|inform
USR|of course not|inform
SYS|Do you have any dates in mind?|request
USR|on september 1st|inform
SYS|We have a 9 day stay at a 3 star hotel.|offer
SYS|This flight leaves on August 18th at 11:00 am and the cost is 5440.99.|offer
SYS|Does this interest you?|offer
USR|3 stars?|inform
USR|I would like 5….|inform
USR|what if we went to san jose instead?|inform
SYS|I have found a 4 star hotel for 11 days starting on the 27th of August.|sorry
SYS|Unfortunately there are no 5 star hotels.|sorry
SYS|This package offers free breakfast, wifi and parking, and the cost comes to 5179.21 for the business class flight.|sorry
SYS|Does this package interest you?|sorry
USR|can you find me a 5 star if i leave from Porto|inform
SYS|Unfortunately there are no 5 star hotels available.|sorry
SYS|The highest rating is a 4.|sorry
USR|and from porto to kyoto… still nothing?|request
SYS|I could get you a 3 star hotel|offer
USR|it’ll have to be san jose but i do need to be back by sept 1|inform
SYS|There are no flights to San Jose that would bring you back by September 1st.|sorry
SYS|Sorry for the inconvenience.|sorry
SYS|Would you be interested in the first option to go to Kyoto for the 9 day stay?|sorry
USR|ok… well, if I went to Kyoto when would I return?|request
SYS|You would return on the 27th of August.|inform
USR|alright, i suppose ill have to book that then|inform
SYS|Great!|inform
SYS|Your flight departs on the 18th of August at 11:00 am and the cost is 5440.99.|inform
SYS|Have a great trip!|inform
USR|thank you kindly :kissing_heart:|thankyou
